xin chào | ối chào bạn ơi xịn sò ghé thăm mini rồi hôm nay cần gì cứ hỏi đi nha mini luôn sẵn sàng
cách đào nhanh nhất | dùng cuốc kim cương enchant efficiency bạn ơi kết hợp với potion tốc độ thì đào cực nhanh tiết kiệm thời gian rất nhiều khi cần tài nguyên gấp
tại sao cần đuốc khi đào hang | đuốc giúp nhìn thấy và ngăn quái vật spawn trong hang bạn ơi hang tối thì quái sinh ra liên tục thắp đuốc giúp vừa nhìn được vừa an toàn hơn nhiều
vào hang tối không có đuốc phải làm sao | quay ra ngoài lấy đuốc trước bạn ơi đừng liều vào hang tối không chuẩn bị dễ toang lắm than đá ở gần lối vào hang thường nhiều craft đuốc rồi vào tiếp
cách thoát khỏi hang khi bị lạc | đặt đuốc bên tay phải khi vào bạn ơi khi ra thì đi theo phía có đuốc bên trái là ra được cách này cực kỳ hiệu quả không bao giờ bị lạc
bị kẹt trong hang sâu phải làm sao | đào thẳng lên trên bạn ơi dù chậm nhưng chắc chắn ra được miễn là không đào vào dung nham nhớ đào chéo để tránh rủi ro
dung nham nguy hiểm không | nguy hiểm lắm bạn ơi rớt vào là chết rất nhanh khi đào gần dung nham cẩn thận từng block mang theo nước để dập dung nham nếu cần
cách dập dung nham | đổ nước lên dung nham là nó đóng thành obsidian bạn ơi luôn mang theo xô nước khi đào sâu rất hữu ích trong nhiều tình huống nguy hiểm
nước trong mini world dùng được gì | nước dùng tưới cây nuôi cá làm hào bảo vệ dập dung nham và một số cơ chế khác bạn ơi nước rất đa dụng nên biết tận dụng
cách di chuyển dưới nước nhanh | dùng cung enchant hoặc vật phẩm tăng tốc dưới nước bạn ơi đi thuyền trên mặt nước thì nhanh hơn nhiều so với bơi nếu đường xa
thuyền làm thế nào | craft năm miếng gỗ xếp hình U trong bàn làm việc bạn ơi thuyền di chuyển nhanh trên mặt nước rất tiện khi khám phá vùng biển hoặc sông lớn
đại dương có gì đặc biệt | đại dương có sinh vật biển cá đặc biệt và đền dưới nước bạn ơi khám phá đáy biển tìm được tài nguyên và đồ hiếm không có ở trên cạn
đền dưới nước là gì | công trình đặc biệt dưới đáy biển có rương bảo vật và quái biển bảo vệ bạn ơi cần chuẩn bị đồ lặn tốt và vũ khí mạnh mới vào được
sa mạc có gì | sa mạc có nhiều cát xương rồng và đôi khi có đền sa mạc bạn ơi đền sa mạc thường có bẫy và rương bảo vật cẩn thận khi vào
đền sa mạc có nguy hiểm không | nguy hiểm vì có bẫy bạn ơi không bước lên tấm đá áp lực ở giữa đền hoặc sẽ kích hoạt bẫy nổ phá hủy cả đền và đồ trong đó
vùng tuyết có gì đặc biệt | vùng tuyết có nguyên liệu băng tuyết sinh vật đặc biệt và cảnh quan đẹp bạn ơi khí hậu lạnh không ảnh hưởng nhân vật nhưng nhìn rất đẹp để xây nhà
rừng rậm có gì | rừng rậm có nhiều gỗ tài nguyên và sinh vật bạn ơi cũng dễ bị lạc hơn vùng bằng phẳng thực vật dày đặc hạn chế tầm nhìn cẩn thận
núi lửa trong game có không | có bạn ơi vùng núi lửa có dung nham nguyên liệu đặc biệt và quái mạnh hơn thường cần đồ chống lửa trước khi vào khám phá
sinh vật biển có những loại nào | có cá thông thường cá nhiệt đới và sinh vật đặc biệt như mực bạch tuộc bạn ơi mỗi loại drop nguyên liệu khác nhau câu cá hoặc lặn bắt
chim trong game có không | có một số loài chim bạn ơi thường bay vòng quanh và drop lông vũ khi bị tiêu diệt lông vũ dùng làm mũi tên rất cần thiết
ngựa trong game có không | có bạn ơi ngựa là phương tiện di chuyển nhanh trên cạn dụ bằng cỏ lúa mì rồi cưỡi lên tập thuần phục ngựa tốt là tài sản quý
cách thuần phục ngựa | nhảy lên lưng ngựa nhiều lần đến khi nó chấp nhận bạn ơi cho ngựa ăn táo hoặc đường trước giúp tăng tỷ lệ thuần phục nhanh hơn
ngựa có chở đồ được không | cần làm yên ngựa và túi yên bạn ơi yên ngựa craft từ da và sắt túi yên giúp ngựa mang thêm đồ rất tiện khi đi xa
cách buộc ngựa | dùng dây thừng buộc vào cọc hoặc hàng rào bạn ơi không buộc thì ngựa đi lang thang mất luôn nhớ buộc mỗi khi dừng lại lâu
lừa và ngựa khác nhau gì | lừa chậm hơn nhưng mang được nhiều đồ hơn bạn ơi ngựa nhanh hơn nhưng mang ít hơn tùy mục đích mà chọn dùng loài phù hợp
thỏ có ích gì | thỏ drop thịt thỏ và da thỏ bạn ơi da thỏ dùng làm một số đồ đặc biệt thịt thỏ nấu chín ăn hồi máu khá tốt
gấu trong game có không | tùy phiên bản nhưng một số có gấu bạn ơi gấu thường hung dữ tấn công khi lại gần cẩn thận không tiếp cận quá gần khi chưa có đồ tốt
rồng có trong mini world không | có rồng trong một số phiên bản hoặc boss đặc biệt bạn ơi rồng thường là boss cuối rất khó đánh cần đội hình mạnh và chiến thuật tốt
cách chiến đấu với rồng | giữ khoảng cách bắn tên phá crystals xung quanh trước bạn ơi crystals hồi máu cho rồng phá xong rồi mới tập trung đánh rồng hiệu quả hơn nhiều
end crystal là gì | crystals trên cột obsidian hồi máu cho boss rồng bạn ơi phải phá hết crystals trước khi đánh rồng không thì boss sẽ liên tục hồi máu
portal nether trông thế nào | khung obsidian hình chữ nhật với lửa tím bên trong bạn ơi bước vào là dịch chuyển đến nether ngay nhiều người mới thấy portal lần đầu rất ấn tượng
nether có nguy hiểm gì | nhiều dung nham quái mạnh hơn overworld và địa hình nguy hiểm bạn ơi không có ngày đêm nên quái xuất hiện liên tục chuẩn bị kỹ trước khi vào
tài nguyên đặc biệt trong nether | blaze rod ghast tear wither skeleton skull và nhiều thứ khác bạn ơi những nguyên liệu này không thể tìm được ở overworld phải vào nether mới có
blaze là gì | quái vật bay phun lửa trong nether bạn ơi drop blaze rod rất quan trọng để làm potion và đi đến end blaze khó đánh vì bay và phun lửa liên tục
cách đánh blaze | dùng tuyết hoặc tấn công nhanh nhiều lần bạn ơi tuyết gây sát thương blaze rất hiệu quả snowball là vũ khí rẻ mà hay trong nether
ghast là gì | quái vật bay khổng lồ phun cầu lửa bạn ơi ghast xuất hiện nhiều trong nether bắn cầu lửa có thể phản lại bằng cách đánh cầu lửa ngược lại thú vị lắm
wither là gì | boss triệu hồi được từ nguyên liệu trong nether bạn ơi wither rất mạnh cần đồ kim cương trở lên mới đánh được sau khi giết cho nether star làm beacon
beacon là gì | khối đặc biệt phát ánh sáng và cho buff bạn ơi cần nether star và nhiều nguyên liệu quý để làm beacon cho buff tốc độ sức mạnh hoặc hồi máu tự động
buff là gì trong game | buff là hiệu ứng tích cực tăng chỉ số bạn ơi ví dụ buff tốc độ chạy nhanh hơn buff sức mạnh đánh mạnh hơn buff hồi máu tự hồi máu theo thời gian
debuff là gì | debuff là hiệu ứng tiêu cực giảm chỉ số hoặc gây hại bạn ơi ví dụ slow đi chậm lại poison mất máu từ từ blindness không nhìn thấy được
cách làm potion | cần bàn ủ potion nguyên liệu gốc như nether wart và nguyên liệu hiệu ứng bạn ơi potion rất hữu ích trong chiến đấu boss đặc biệt là potion hồi máu và sức mạnh
potion tốt nhất khi đánh boss | potion sức mạnh hồi máu nhanh và chống lửa nếu boss dùng lửa bạn ơi uống trước khi vào đánh kết hợp nhiều potion tăng cơ hội thắng nhiều
cách craft potion | cần bàn ủ potion ống thuốc nước và nguyên liệu đặc biệt bạn ơi tra công thức từng loại potion trong wiki game vì mỗi loại cần nguyên liệu khác nhau
bàn ủ potion làm thế nào | cần blaze rod và cobblestone bạn ơi blaze rod làm được từ blaze trong nether quan trọng phải vào nether trước mới làm được bàn ủ
cách farm blaze rod | tìm blaze spawner trong nether fortress bạn ơi xây platform an toàn gần spawner rồi farm từng con một mang nhiều snowball để chiến đấu hiệu quả
nether fortress là gì | công trình lớn trong nether có blaze spawner và rương bảo vật bạn ơi tìm nether fortress để farm blaze rod và tìm nguyên liệu đặc biệt khác
soul sand là gì | block cát linh hồn trong nether bạn ơi bước lên sẽ bị chậm lại dùng làm nguyên liệu ủ potion tốc độ và triệu hồi wither boss
basalt là gì | loại đá đặc biệt trong nether bạn ơi dùng trang trí và xây dựng nhìn độc đáo khác biệt hoàn toàn với vật liệu ở overworld
piglin là gì | dân cư của nether trông như người nhưng mang đầu lợn bạn ơi mặc giáp vàng khi đến gần họ thì họ không tấn công trade vàng để nhận đồ ngẫu nhiên
cách trade với piglin | ném thỏi vàng xuống đất gần piglin bạn ơi họ sẽ nhặt lên và trade lại đồ ngẫu nhiên trade nhiều lần để nhận được đồ hiếm như mũi tên đặc biệt
strider là gì | sinh vật sống trên dung nham trong nether bạn ơi có thể cưỡi strider để di chuyển qua biển dung nham an toàn cần dây câu nấm méo mới điều khiển được
đi nether lần đầu cần chuẩn bị gì | giáp sắt trở lên vũ khí tốt đồ ăn nhiều và nguyên liệu làm cổng về bạn ơi nether nguy hiểm hơn overworld nhiều đừng vào quá sớm
cổng nether bị phá phải làm sao | làm lại cổng mới từ obsidian bạn ơi nhớ mang theo nguyên liệu làm cổng dự phòng khi vào nether tránh bị kẹt không về được
end portal tìm ở đâu | trong stronghold dưới lòng đất bạn ơi dùng mắt ender để chỉ hướng tìm stronghold mắt ender làm từ blaze powder và ender pearl
ender pearl là gì | vật phẩm drop từ enderman bạn ơi dùng ném ra để dịch chuyển đến vị trí ném rất tiện để thoát hiểm hoặc di chuyển nhanh trong chiến đấu
enderman là gì | sinh vật cao lớn mắt tím thường đứng yên bạn ơi nhìn thẳng vào mắt hoặc tấn công trước thì chúng mới đánh lại drop ender pearl rất quan trọng
